"Obs","doby","male","raceeth","lifetime_earn","slifetime_earn","weight"
"520",1936,0,1,191314.89,2794713.23,2.50983
"521",1936,0,1,191314.89,2794713.23,2.50983
"522",1936,0,1,190297.03,691696.32,2.50983
"523",1936,0,1,94769.98,1374686.18,2.50983
"524",1936,0,1,94769.98,947489.45,2.50983
"525",1936,0,1,23309.75,184442.26,2.50983
"529",1936,0,1,66934.55,1187577.31,2.50983
"533",1936,0,2,78652.52,110475.24,2.50983
"534",1936,0,2,78652.52,1568348.03,2.50983
"535",1936,0,1,233072.23,5424710.43,2.50983
"539",1936,0,1,1644190.93,2462252.82,2.50983
"540",1936,0,3,1393217.90,60936.77,2.50983
"541",1936,0,1,4170535.04,3357612.90,2.50983
"545",1936,0,1,847806.85,1546712.28,2.50983
"546",1936,0,1,847806.85,1546712.28,2.50983
"550",1936,0,1,2472717.39,1629562.40,2.50983
"551",1936,0,1,115236.45,1551574.44,2.50983
"555",1936,0,3,0.00,1456762.40,2.50983
"556",1936,0,4,0.00,639.31,2.50983
"557",1936,0,4,0.00,639.31,2.50983
"558",1936,0,1,1013994.99,277597.12,2.50983
"559",1936,0,2,78030.03,1133336.52,2.50983
"561",1936,0,1,94769.98,2005672.85,2.50983
"562",1936,0,1,94769.98,0.00,2.50983
"567",1936,0,1,29896.37,2472608.04,2.50983
"571",1936,0,1,927123.92,1909464.42,2.50983
"572",1936,0,1,927123.92,1916303.41,2.50983
"576",1936,0,1,364140.13,3169940.42,2.50983
"577",1936,0,1,364140.13,3169940.42,2.50983
"579",1936,0,1,108456.35,1453498.53,2.50983
"580",1936,0,1,608349.89,2223014.58,2.50983
"581",1936,0,1,101751.96,198557.65,2.50983
"582",1936,0,2,238918.59,2455136.24,2.50983
"584",1936,0,1,1536819.73,5507838.15,2.50983
"586",1936,0,3,318874.97,287237.31,2.50983
"587",1936,0,3,318874.97,1505114.77,2.50983
"590",1936,0,1,761726.50,424193.64,2.50983
"591",1936,0,1,155622.63,558441.29,2.50983
"592",1936,0,1,1169567.15,2272978.27,2.50983
"593",1936,0,1,771383.52,2250942.53,2.50983
"594",1936,0,1,4170535.04,1059537.74,2.50983
"597",1936,0,1,872016.68,2213862.28,2.50983
"601",1936,0,1,206288.31,1205335.12,2.50983
"603",1936,0,3,23309.75,705593.00,2.50983
"604",1936,0,3,23309.75,705593.00,2.50983
"605",1936,0,3,23309.75,324056.79,2.50983
"611",1936,0,2,175298.38,250081.36,2.50983
"613",1936,0,1,851634.32,3007655.46,2.50983
"614",1936,0,1,872016.68,328372.16,2.50983
"615",1936,0,1,147622.78,569183.46,2.50983
"616",1936,0,1,119829.42,4506595.80,2.50983
"617",1936,0,2,0.00,91689.60,2.50983
"618",1936,0,1,163967.37,2780042.64,2.50983
"622",1936,0,1,921277.55,1088592.91,2.50983
"623",1936,0,1,754500.57,1244047.30,2.50983
"624",1936,0,1,754500.57,2221399.47,2.50983
"626",1936,0,1,187495.83,1124680.53,2.50983
"627",1936,0,1,187495.83,1124680.53,2.50983
